date,br_interest_rate_pct,br_inflation_yoy_pct,usdb_rl,Month,us_inflation_yoy_pct,,,,,,,,,,,,,,,,,
3/28/1999,42,2.24,1.73,,,,,,,,,,,,,,,,,,,
4/25/1999,34,3.02,1.67,,,,,,,,,,,,,,,,,,,
5/30/1999,23.5,3.35,1.73,,,,,,,,,,,,,,,,,,,
6/27/1999,21,3.14,1.76,,,,,,,,,,,,,,,,,,,
7/25/1999,21,3.32,1.79,,,,,,,,,,,,,,,,,,,
8/29/1999,19.5,4.57,1.9,,,,,,,,,,,,,,,,,,,
9/26/1999,19,5.69,1.95,,,,,,,,,,,,,,,,,,,
10/31/1999,19,7.5,1.92,,,,,,,,,,,,,,,,,,,
11/28/1999,19,7.5,1.87,,,,,,,,,,,,,,,,,,,
12/26/1999,19,8.65,1.8,,,,,,,,,,,,,,,,,,,
1/30/2000,19,8.94,1.76,,,,,,,,,,,,,,,,,,,
2/27/2000,19,8.85,1.74,,,,,,,,,,,,,,,,,,,
3/26/2000,19,7.86,1.73,,,,,,,,,,,,,,,,,,,
4/30/2000,18.5,6.77,1.816,,,,,,,,,,,,,,,,,,,
5/28/2000,18.5,6.77,1.8,,,,,,,,,,,,,,,,,,,
6/25/2000,17.5,6.47,1.801,,,,,,,,,,,,,,,,,,,
7/30/2000,16.5,6.51,1.793,,,,,,,,,,,,,,,,,,,
8/27/2000,16.5,7.06,1.823,,,,,,,,,,,,,,,,,,,
9/24/2000,16.5,7.86,1.843,,,,,,,,,,,,,,,,,,,
10/29/2000,16.5,7.77,1.941,,,,,,,,,,,,,,,,,,,
11/26/2000,16.5,6.65,1.973,,,,,,,,,,,,,,,,,,,
12/31/2000,15.75,5.97,1.952,,,,,,,,,,,,,,,,,,,
1/28/2001,15.25,5.97,1.989,,,,,,,,,,,,,,,,,,,
2/25/2001,15.25,5.92,2.026,,,,,,,,,,,,,,,,,,,
3/25/2001,15.75,6.27,2.17,,,,,,,,,,,,,,,,,,,
4/29/2001,16.25,6.44,2.21,,,,,,,,,,,,,,,,,,,
5/27/2001,16.75,6.61,2.377,,,,,,,,,,,,,,,,,,,
6/24/2001,18.25,7.04,2.31,,,,,,,,,,,,,,,,,,,
7/29/2001,19,7.35,2.491,,,,,,,,,,,,,,,,,,,
8/26/2001,19,7.05,2.563,,,,,,,,,,,,,,,,,,,
9/30/2001,19,6.46,2.776,,,,,,,,,,,,,,,,,,,
10/28/2001,19,6.46,2.672,,,,,,,,,,,,,,,,,,,
